Date;Open;High;Low;Close;Volume
04.07.24;19,37;19,60;19,25;19,57;455633
05.07.24;19,88;20,03;19,66;19,66;354767
08.07.24;21,32;21,70;20,71;21,20;823182
09.07.24;21,01;22,18;20,95;22,02;630009
10.07.24;22,02;22,98;22,02;22,45;590467
11.07.24;22,58;22,93;22,10;22,41;383917
12.07.24;22,44;22,91;22,06;22,50;369153
15.07.24;22,43;22,54;22,10;22,50;402948
16.07.24;22,39;22,67;21,72;22,00;361635
17.07.24;21,94;22,76;21,90;22,48;500489
18.07.24;22,52;23,03;22,28;22,54;405429
19.07.24;21,00;21,00;19,23;19,38;2149290
22.07.24;19,42;20,06;19,35;19,70;783285
23.07.24;19,78;19,95;19,45;19,51;399541
24.07.24;19,41;19,52;18,65;18,93;606617
25.07.24;18,86;18,93;18,15;18,28;536084
26.07.24;18,32;19,01;18,27;18,80;471245
29.07.24;18,98;19,10;18,72;18,95;376191
30.07.24;18,97;19,00;18,59;18,90;266691
31.07.24;19,22;19,27;18,82;19,00;435814
01.08.24;19,03;19,03;18,33;18,33;358805
02.08.24;18,10;18,14;17,29;17,49;728384
05.08.24;16,74;17,26;16,34;17,11;548674
06.08.24;17,32;17,60;16,90;17,05;332242
07.08.24;17,23;17,32;17,08;17,08;278976
08.08.24;16,90;16,95;16,59;16,61;540601
09.08.24;16,59;16,95;16,53;16,90;371573
12.08.24;17,02;17,13;16,78;17,13;375814
13.08.24;17,17;17,17;16,90;17,13;514928
14.08.24;17,22;17,30;16,91;17,07;398704
15.08.24;17,12;17,29;16,94;16,97;544546
16.08.24;17,00;17,08;16,82;16,89;289182
19.08.24;16,94;17,08;16,83;16,89;641808
20.08.24;16,99;17,00;16,69;16,83;297939
21.08.24;16,79;17,08;16,78;17,05;201836
22.08.24;17,05;17,17;16,76;16,88;353808
23.08.24;16,85;16,99;16,70;16,99;214985
26.08.24;17,03;17,30;16,94;17,30;250651
27.08.24;17,70;18,06;17,41;17,41;627053
28.08.24;17,37;17,59;17,21;17,50;320924
29.08.24;17,42;17,42;17,20;17,25;271157
30.08.24;17,28;17,42;17,15;17,19;439281
02.09.24;17,18;17,18;16,11;16,32;764128
03.09.24;16,29;16,29;15,44;15,50;936562
04.09.24;15,40;15,75;15,19;15,54;506592
05.09.24;15,47;15,63;15,24;15,24;524043
06.09.24;15,17;15,23;14,64;14,72;683761
09.09.24;14,40;14,43;13,31;13,67;1440894
10.09.24;13,65;13,90;12,93;13,24;1024731
11.09.24;13,06;13,20;11,85;12,01;1786334
12.09.24;11,89;12,07;11,48;11,69;1391606
13.09.24;11,75;12,01;11,53;11,73;997148
16.09.24;11,61;11,62;11,22;11,32;808152
17.09.24;11,36;12,02;11,31;11,83;1247511
18.09.24;12,20;12,69;12,02;12,60;1489209
19.09.24;12,92;12,98;12,55;12,91;918140
20.09.24;12,84;12,85;12,22;12,23;2366486
23.09.24;12,15;12,19;11,82;12,02;723247
24.09.24;12,32;12,37;11,86;11,96;563482
25.09.24;11,41;11,84;11,13;11,42;1097767
26.09.24;9,76;10,15;9,01;9,89;5257147
27.09.24;9,88;10,80;9,71;10,48;2593692
30.09.24;10,58;10,65;9,92;10,10;1866498
01.10.24;10,17;10,55;9,95;10,34;1090918
02.10.24;10,41;10,69;10,31;10,34;1259996
03.10.24;10,31;10,64;10,20;10,64;774152
04.10.24;10,68;14,20;10,56;14,20;5948002
07.10.24;14,23;15,38;13,47;13,65;3228647
08.10.24;13,55;13,67;13,01;13,10;1739118
09.10.24;13,09;13,35;12,72;13,06;1240490
10.10.24;12,95;13,45;12,80;13,04;729875
11.10.24;13,07;13,38;12,81;13,00;993840
14.10.24;13,07;13,52;13,07;13,45;548081
15.10.24;13,45;13,53;13,01;13,39;518018
16.10.24;13,18;13,42;12,94;13,06;720610
17.10.24;13,06;14,16;13,03;13,66;704690
18.10.24;13,77;14,03;13,28;13,29;545041
21.10.24;13,27;13,96;13,27;13,39;663102
22.10.24;13,39;13,86;13,31;13,77;484986
23.10.24;13,81;14,02;13,74;13,81;468706
24.10.24;13,64;14,22;13,34;13,34;568522
25.10.24;13,31;13,91;13,30;13,76;539058
28.10.24;13,84;13,94;13,35;13,41;432807
29.10.24;13,65;14,15;13,63;13,94;795526
30.10.24;13,89;13,98;13,38;13,38;533862
31.10.24;13,27;13,98;12,61;13,64;1431797
01.11.24;13,47;14,28;13,47;14,18;833153
04.11.24;14,15;14,50;13,43;13,48;720210
05.11.24;13,66;13,94;13,40;13,40;509311
06.11.24;13,47;13,71;13,34;13,50;605015
07.11.24;13,78;13,82;13,27;13,61;787483
08.11.24;13,66;13,99;13,40;13,52;502268
11.11.24;13,50;13,60;13,35;13,44;380236
12.11.24;13,51;13,53;13,27;13,38;358654
13.11.24;13,51;13,52;13,39;13,39;491560
14.11.24;13,52;13,90;13,45;13,59;695482
15.11.24;13,40;13,62;13,26;13,52;688649
18.11.24;13,48;13,62;13,16;13,30;371374
19.11.24;13,19;13,47;13,02;13,35;336716
20.11.24;13,36;13,82;12,81;12,94;741002
21.11.24;12,98;13,12;12,22;12,48;601404
